region_code,sido,sigungu,gu,eupmyeondong,level,region_name,total_population,elderly_65_plus,elderly_65_ratio,elderly_75_plus,elderly_75_ratio,elderly_85_plus,elderly_85_ratio,child_0_14,child_0_14_ratio,working_15_64,working_15_64_ratio,aging_index,pop_0_9,ratio_0_9,pop_10_19,ratio_10_19,pop_20_29,ratio_20_29,pop_30_39,ratio_30_39,pop_40_49,ratio_40_49,pop_50_59,ratio_50_59,pop_60_69,ratio_60_69,pop_70_79,ratio_70_79,pop_80_plus,ratio_80_plus,base_year
4715031000,경상북도,김천시,,농소면,eupmyeondong,농소면,2997,1286,42.91,607,20.25,216,7.21,152.0,5.07,1559.0,52.02,846.1,77.0,2.57,149.0,4.97,163.0,5.44,185.0,6.17,259.0,8.64,547.0,18.25,711.0,23.72,525.0,17.52,381.0,12.71,2026
4715032000,경상북도,김천시,,남면,eupmyeondong,남면,2834,1393,49.15,664,23.43,252,8.89,85.0,3.0,1356.0,47.85,1638.8,45.0,1.59,88.0,3.11,126.0,4.45,170.0,6.0,196.0,6.92,435.0,15.35,781.0,27.56,564.0,19.9,429.0,15.14,2026
4715034000,경상북도,김천시,,개령면,eupmyeondong,개령면,2175,1155,53.1,519,23.86,181,8.32,60.0,2.76,960.0,44.14,1925.0,31.0,1.43,79.0,3.63,75.0,3.45,102.0,4.69,139.0,6.39,319.0,14.67,621.0,28.55,496.0,22.8,313.0,14.39,2026
4715035000,경상북도,김천시,,감문면,eupmyeondong,감문면,2971,1694,57.02,808,27.2,336,11.31,53.0,1.78,1224.0,41.2,3196.2,30.0,1.01,68.0,2.29,78.0,2.63,94.0,3.16,180.0,6.06,430.0,14.47,885.0,29.79,653.0,21.98,553.0,18.61,2026
4715036000,경상북도,김천시,,어모면,eupmyeondong,어모면,3902,1761,45.13,806,20.66,273,7.0,208.0,5.33,1933.0,49.54,846.6,124.0,3.18,151.0,3.87,200.0,5.13,239.0,6.13,314.0,8.05,650.0,16.66,1008.0,25.83,713.0,18.27,503.0,12.89,2026
4715037000,경상북도,김천시,,봉산면,eupmyeondong,봉산면,2768,1371,49.53,589,21.28,183,6.61,97.0,3.5,1300.0,46.97,1413.4,42.0,1.52,117.0,4.23,99.0,3.58,133.0,4.8,208.0,7.51,435.0,15.72,801.0,28.94,561.0,20.27,372.0,13.44,2026
4715038000,경상북도,김천시,,대항면,eupmyeondong,대항면,3034,1452,47.86,618,20.37,207,6.82,96.0,3.16,1486.0,48.98,1512.5,46.0,1.52,133.0,4.38,139.0,4.58,135.0,4.45,213.0,7.02,498.0,16.41,899.0,29.63,590.0,19.45,381.0,12.56,2026
4715039000,경상북도,김천시,,감천면,eupmyeondong,감천면,1655,826,49.91,383,23.14,156,9.43,54.0,3.26,775.0,46.83,1529.6,27.0,1.63,56.0,3.38,50.0,3.02,74.0,4.47,117.0,7.07,286.0,17.28,470.0,28.4,339.0,20.48,236.0,14.26,2026
4715040000,경상북도,김천시,,조마면,eupmyeondong,조마면,1985,1059,53.35,475,23.93,178,8.97,50.0,2.52,876.0,44.13,2118.0,26.0,1.31,62.0,3.12,56.0,2.82,85.0,4.28,154.0,7.76,268.0,13.5,607.0,30.58,439.0,22.12,288.0,14.51,2026
4715041000,경상북도,김천시,,구성면,eupmyeondong,구성면,2530,1480,58.5,720,28.46,273,10.79,43.0,1.7,1007.0,39.8,3441.9,23.0,0.91,45.0,1.78,66.0,2.61,84.0,3.32,115.0,4.55,378.0,14.94,736.0,29.09,615.0,24.31,468.0,18.5,2026
4715042000,경상북도,김천시,,지례면,eupmyeondong,지례면,1364,796,58.36,414,30.35,161,11.8,39.0,2.86,529.0,38.78,2041.0,18.0,1.32,55.0,4.03,36.0,2.64,47.0,3.45,56.0,4.11,168.0,12.32,379.0,27.79,326.0,23.9,279.0,20.45,2026
4715043000,경상북도,김천시,,부항면,eupmyeondong,부항면,1168,670,57.36,311,26.63,128,10.96,21.0,1.8,477.0,40.84,3190.5,7.0,0.6,41.0,3.51,28.0,2.4,40.0,3.42,66.0,5.65,168.0,14.38,350.0,29.97,255.0,21.83,213.0,18.24,2026
